,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
43,Haryana Delhi & Chandigarh,1944,21.5,32.9,35.1,27.6,0.5,52.2,150.7,99.0,38.8,24.8,0.6,0.6,484.2,54.4,63.1,340.7,26.0,0,17.400000000000002,51.7
44,Haryana Delhi & Chandigarh,1945,41.5,0.0,2.4,6.5,7.9,36.5,120.0,122.3,312.5,5.1,0.0,0.0,654.6,41.5,16.8,591.2,5.1,0,12.166666666666666,28.6
45,Haryana Delhi & Chandigarh,1946,0.1,9.7,1.7,3.4,27.0,72.0,122.9,155.4,17.3,15.6,1.0,11.6,437.8,9.8,32.1,367.6,28.3,0,24.0,45.0
46,Haryana Delhi & Chandigarh,1947,17.2,15.8,7.2,0.6,3.0,13.7,22.9,80.6,292.9,4.5,0.0,6.2,464.5,33.0,10.8,410.0,10.7,0,4.566666666666666,10.7
47,Haryana Delhi & Chandigarh,1948,34.4,31.4,18.8,1.1,4.8,16.0,212.4,233.0,34.6,4.3,0.9,0.3,592.1,65.9,24.7,496.1,5.4,0,5.333333333333333,11.2
48,Haryana Delhi & Chandigarh,1949,3.4,27.9,0.7,1.2,5.9,12.1,287.9,58.3,84.7,1.2,0.0,2.0,485.3,31.3,7.8,442.9,3.2,0,4.033333333333333,6.199999999999999
49,Haryana Delhi & Chandigarh,1950,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0.0,0.0,1.4,551.1,28.7,24.7,496.4,1.4,0,3.233333333333333,3.5999999999999996
50,Haryana Delhi & Chandigarh,1951,8.2,0.4,33.6,11.6,9.1,21.3,56.0,135.4,35.0,0.2,27.4,0.0,338.2,8.7,54.2,247.7,27.7,0,7.1000000000000005,12.200000000000001
51,Haryana Delhi & Chandigarh,1952,8.2,17.8,12.0,2.6,10.8,67.1,122.5,311.0,1.3,0.0,0.0,3.2,556.3,26.0,25.3,501.9,3.2,0,22.366666666666664,56.3
52,Haryana Delhi & Chandigarh,1953,39.5,1.6,0.0,4.1,5.9,58.9,241.0,154.9,48.4,0.9,0.0,6.6,561.9,41.1,10.0,503.3,7.5,0,19.633333333333333,53.0
53,Haryana Delhi & Chandigarh,1954,26.1,91.0,10.1,0.4,3.9,26.7,152.3,45.6,136.6,43.9,0.3,0.0,537.0,117.1,14.5,361.2,44.2,0,8.9,22.8
54,Haryana Delhi & Chandigarh,1955,32.8,1.9,7.7,7.3,12.7,66.1,100.3,173.1,159.3,129.4,2.8,0.6,694.1,34.7,27.7,498.8,132.8,0,22.03333333333333,53.39999999999999
55,Haryana Delhi & Chandigarh,1956,16.6,3.1,25.6,0.8,2.4,50.8,239.1,159.5,19.5,131.3,4.4,0.6,653.8,19.7,28.9,468.9,136.3,0,16.933333333333334,48.4
56,Haryana Delhi & Chandigarh,1957,53.2,0.2,28.9,2.8,6.9,24.4,190.6,101.6,149.6,26.6,7.7,24.7,617.2,53.4,38.7,466.2,58.9,0,8.133333333333333,17.5
57,Haryana Delhi & Chandigarh,1958,4.1,0.7,5.4,1.9,4.4,17.0,150.0,182.7,273.4,21.8,1.0,10.6,673.0,4.8,11.7,623.1,33.4,0,5.666666666666667,12.6
58,Haryana Delhi & Chandigarh,1959,28.4,8.0,3.8,0.4,13.2,25.3,103.8,163.8,102.8,16.1,19.3,0.1,484.9,36.4,17.4,395.7,35.4,0,8.433333333333334,12.100000000000001
59,Haryana Delhi & Chandigarh,1960,11.3,0.0,24.4,4.2,1.3,33.1,249.9,339.0,15.6,35.2,0.0,8.9,722.9,11.3,30.0,637.5,44.1,0,11.033333333333333,31.8
60,Haryana Delhi & Chandigarh,1961,40.2,29.9,0.4,4.6,11.0,46.2,150.1,251.4,52.4,25.8,6.6,9.2,627.9,70.2,16.0,500.1,41.6,0,15.4,35.2
61,Haryana Delhi & Chandigarh,1962,21.1,10.4,7.7,1.3,1.5,14.0,144.7,111.5,189.4,0.0,2.9,6.5,511.0,31.5,10.5,459.6,9.4,0,4.666666666666667,12.5
62,Haryana Delhi & Chandigarh,1963,3.1,4.1,4.4,2.0,3.9,40.7,55.3,307.6,85.3,0.0,9.0,6.3,521.8,7.2,10.4,488.9,15.4,0,13.566666666666668,36.800000000000004
63,Haryana Delhi & Chandigarh,1964,4.7,1.5,0.9,0.4,14.6,8.8,370.7,191.5,111.2,0.6,0.1,6.0,710.9,6.2,15.9,682.1,6.7,0,2.9333333333333336,5.799999999999999
64,Haryana Delhi & Chandigarh,1965,6.2,11.5,7.3,8.6,20.4,2.1,120.3,133.3,60.9,11.0,0.1,0.2,381.9,17.7,36.3,316.7,11.3,0,0.7000000000000001,18.299999999999997
65,Haryana Delhi & Chandigarh,1966,3.3,34.0,6.7,1.7,45.3,128.9,98.2,312.8,69.1,6.7,1.0,0.2,707.7,37.3,53.7,609.0,7.8,0,42.96666666666667,83.60000000000001
