,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
65,Sub Himalayan West Bengal & Sikkim,1966,29.5,7.6,3.0,51.5,231.7,287.5,741.5,682.8,357.3,100.9,18.3,3.8,2515.3,37.1,286.2,2069.1,123.0,0,95.83333333333333,55.80000000000001
66,Sub Himalayan West Bengal & Sikkim,1967,2.3,0.1,98.8,85.3,213.7,727.5,901.6,274.1,409.4,128.7,7.9,11.1,2860.5,2.4,397.8,2312.6,147.7,0,242.5,513.8
67,Sub Himalayan West Bengal & Sikkim,1968,26.3,4.7,34.3,90.8,237.3,646.7,827.6,594.2,514.8,314.3,87.3,0.5,3378.8,31.0,362.4,2583.3,402.1,1,215.5666666666667,409.40000000000003
68,Sub Himalayan West Bengal & Sikkim,1969,11.5,2.8,45.1,77.5,273.3,504.8,550.5,448.2,431.2,45.8,34.1,0.0,2424.9,14.4,396.0,1934.6,79.9,0,168.26666666666668,231.5
69,Sub Himalayan West Bengal & Sikkim,1970,18.0,13.4,7.6,162.5,162.7,556.6,731.2,425.4,560.8,60.7,3.3,0.0,2702.3,31.4,332.9,2273.9,64.1,0,185.53333333333333,393.90000000000003
70,Sub Himalayan West Bengal & Sikkim,1971,28.4,21.3,63.0,239.8,244.5,757.6,599.5,542.0,375.4,328.7,24.8,1.9,3226.8,49.7,547.4,2274.4,355.4,0,252.53333333333333,513.1
71,Sub Himalayan West Bengal & Sikkim,1972,9.4,41.6,52.1,134.3,287.5,457.2,590.3,335.1,407.1,86.8,12.3,0.9,2414.6,51.0,473.9,1789.7,100.0,0,152.4,169.7
72,Sub Himalayan West Bengal & Sikkim,1973,13.8,35.9,40.8,82.9,324.3,679.8,426.5,424.7,474.1,281.3,16.6,3.9,2804.6,49.7,448.0,2005.1,301.8,0,226.6,355.49999999999994
73,Sub Himalayan West Bengal & Sikkim,1974,19.1,2.5,94.4,210.8,339.0,508.1,826.8,673.7,480.8,175.0,3.0,8.3,3341.6,21.6,644.2,2489.4,186.3,1,169.36666666666667,169.10000000000002
74,Sub Himalayan West Bengal & Sikkim,1975,20.4,29.9,15.6,83.7,251.1,493.2,808.2,263.8,515.7,174.6,1.0,6.6,2663.6,50.2,350.4,2080.8,182.2,0,164.4,242.1
75,Sub Himalayan West Bengal & Sikkim,1976,8.8,51.0,27.3,112.8,303.5,649.2,531.9,671.7,288.0,113.1,35.5,1.2,2793.9,59.7,443.6,2140.8,149.8,0,216.4,345.70000000000005
76,Sub Himalayan West Bengal & Sikkim,1977,6.6,16.0,67.6,245.6,308.1,466.0,502.9,627.8,316.0,263.7,60.8,25.3,2906.5,22.6,621.3,1912.7,349.8,0,155.33333333333334,157.89999999999998
77,Sub Himalayan West Bengal & Sikkim,1978,14.7,17.9,49.3,136.7,313.3,515.5,545.2,274.0,376.5,62.9,61.1,10.8,2377.8,32.6,499.2,1711.1,134.8,0,171.83333333333334,202.2
78,Sub Himalayan West Bengal & Sikkim,1979,8.1,26.8,15.1,100.6,142.0,261.7,741.7,432.4,427.0,286.5,31.7,38.1,2511.7,34.9,257.7,1862.9,356.3,0,87.23333333333333,119.69999999999999
79,Sub Himalayan West Bengal & Sikkim,1980,11.6,44.8,77.3,130.4,300.1,485.9,774.4,692.5,477.5,151.2,0.9,2.0,3148.6,56.4,507.8,2430.4,154.1,1,161.96666666666667,185.79999999999995
80,Sub Himalayan West Bengal & Sikkim,1981,48.8,23.0,77.8,185.6,273.7,468.6,833.1,540.9,453.2,38.1,9.2,17.3,2969.3,71.8,537.1,2295.9,64.6,0,156.20000000000002,194.90000000000003
81,Sub Himalayan West Bengal & Sikkim,1982,0.2,9.9,47.0,125.6,174.5,499.0,749.5,305.5,341.6,54.1,20.0,10.6,2337.7,10.1,347.1,1895.7,84.8,0,166.33333333333334,324.5
